Episode,Total Steps,Avg Steps (Last 100),Avg Reward (Last 100)
10,94,9.4,0.0
20,198,9.9,0.0
30,305,10.166666666666666,0.0
40,410,10.25,0.05
50,478,9.56,0.06
60,536,8.933333333333334,0.05
70,617,8.814285714285715,0.04285714285714286
80,695,8.6875,0.05
90,763,8.477777777777778,0.044444444444444446
100,861,8.61,0.06
110,957,8.63,0.06
120,1044,8.46,0.06
130,1184,8.79,0.06
140,1288,8.78,0.04
150,1446,9.68,0.04
160,1625,10.89,0.07
170,1740,11.23,0.08
180,1851,11.56,0.08
190,1956,11.93,0.08
200,2086,12.25,0.08
210,2267,13.1,0.08
220,2419,13.75,0.08
230,2599,14.15,0.08
240,2823,15.35,0.08
250,3031,15.85,0.07
260,3541,19.16,0.04
270,3802,20.62,0.03
280,4072,22.21,0.04
290,4295,23.39,0.04
300,4650,25.64,0.02
310,4978,27.11,0.03
320,5190,27.71,0.05
330,5776,31.77,0.06
340,6223,34.0,0.06
350,6404,33.73,0.07
360,6731,31.9,0.09
370,7389,35.87,0.1
380,7794,37.22,0.1
390,8131,38.36,0.1
400,8300,36.5,0.11
410,8598,36.2,0.13
420,8837,36.47,0.13
430,9278,35.02,0.16
440,9618,33.95,0.18
450,11163,47.59,0.18
460,11711,49.8,0.18
470,11946,45.57,0.2
480,12648,48.54,0.2
490,12986,48.55,0.28
500,14974,66.74,0.3
510,16298,77.0,0.28
520,16665,78.28,0.27
530,17393,81.15,0.28
540,17829,82.11,0.3
550,19484,83.21,0.3
560,20312,86.01,0.32
570,20848,89.02,0.36
580,22663,100.15,0.4
590,22920,99.34,0.4
600,23167,81.93,0.44
610,23518,72.2,0.5
620,25051,83.86,0.53
630,25247,78.54,0.56
640,25983,81.54,0.57
650,26664,71.8,0.6
660,26812,65.0,0.63
670,27770,69.22,0.6
680,28323,56.6,0.63
690,28560,56.4,0.6
700,28844,56.77,0.61
710,30695,71.77,0.62
720,38065,130.14,0.63
730,41083,158.36,0.61
740,41628,156.45,0.65
750,42411,157.47,0.71
760,42623,158.11,0.71
770,43926,161.56,0.72
780,55493,271.7,0.67
790,58664,301.04,0.63
800,62284,334.4,0.57
810,74309,436.14,0.55
820,75501,374.36,0.54
830,75838,347.55,0.53
840,75989,343.61,0.54
850,76086,336.75,0.53
860,76161,335.38,0.56
870,76594,326.68,0.61
880,76761,212.68,0.67
890,76857,181.93,0.76
900,76937,146.53,0.84
910,77247,29.38,0.86
920,77409,19.08,0.91
930,79236,33.98,0.92
940,81269,52.8,0.89
950,82800,67.14,0.87
960,83373,72.12,0.85
970,84162,75.68,0.81
980,85436,86.75,0.8
990,85845,89.88,0.8
1000,85946,90.09,0.8
