Episode,Total Steps,Average Steps (last 100 episodes),Average Reward (last 100 episodes)
10,52,5.2,0.0
20,124,6.2,0.0
30,223,7.433333333333334,0.03333333333333333
40,287,7.175,0.025
50,385,7.7,0.02
60,454,7.566666666666666,0.016666666666666666
70,554,7.914285714285715,0.014285714285714285
80,634,7.925,0.0125
90,715,7.944444444444445,0.011111111111111112
100,814,8.14,0.01
110,917,8.65,0.01
120,1021,8.97,0.01
130,1125,9.02,0.0
140,1238,9.51,0.0
150,1452,10.67,0.0
160,1576,11.22,0.01
170,1668,11.14,0.01
180,1838,12.04,0.02
190,1976,12.61,0.04
200,2141,13.27,0.04
210,2259,13.42,0.04
220,2412,13.91,0.04
230,2677,15.52,0.04
240,2984,17.46,0.04
250,3302,18.5,0.07
260,3441,18.65,0.09
270,3592,19.24,0.11
280,3894,20.56,0.11
290,4267,22.91,0.1
300,4443,23.02,0.14
310,4678,24.19,0.15
320,4932,25.2,0.15
330,5127,24.5,0.15
340,5595,26.11,0.15
350,5969,26.67,0.12
360,6083,26.42,0.11
370,6321,27.29,0.09
380,6708,28.14,0.09
390,7018,27.51,0.09
400,7380,29.37,0.08
410,7682,30.04,0.08
420,8137,32.05,0.09
430,9117,39.9,0.1
440,9563,39.68,0.1
450,9950,39.81,0.11
460,10653,45.7,0.12
470,11094,47.73,0.14
480,11653,49.45,0.15
490,12412,53.94,0.14
500,12876,54.96,0.12
510,13351,56.69,0.13
520,13796,56.59,0.13
530,14272,51.55,0.13
540,15335,57.72,0.15
550,15908,59.58,0.16
560,17161,65.08,0.18
570,18123,70.29,0.21
580,18241,65.88,0.28
590,18867,64.55,0.29
600,19693,68.17,0.32
610,20478,71.27,0.37
620,20914,71.18,0.4
630,21672,74.0,0.43
640,21804,64.69,0.48
650,22556,66.48,0.51
660,22862,57.01,0.54
670,23546,54.23,0.51
680,23787,55.46,0.48
690,24627,57.6,0.5
700,25010,53.17,0.53
710,25449,49.71,0.52
720,25556,46.42,0.58
730,30347,86.75,0.58
740,30956,91.52,0.58
750,31146,85.9,0.62
760,31333,84.71,0.62
770,31850,83.04,0.68
780,32004,82.17,0.71
790,34657,100.3,0.73
800,41630,166.2,0.72
810,42046,165.97,0.73
820,42221,166.65,0.73
830,42331,119.84,0.78
840,43212,122.56,0.78
850,51137,199.91,0.72
860,52213,208.8,0.7
870,52650,208.0,0.71
880,54035,220.31,0.63
890,56368,217.11,0.58
900,58610,169.8,0.6
910,58825,167.79,0.63
920,58968,167.47,0.63
930,59085,167.54,0.64
940,59225,160.13,0.67
950,59327,81.9,0.74
960,59480,72.67,0.78
970,60105,74.55,0.79
980,60413,63.78,0.87
990,60493,41.25,0.97
1000,60572,19.62,0.99
